Physical Time: Physical Time (s);Particle Mass Flow 1 Monitor: Particle Mass Flow of Mass Flow Rate of Quarzmehl (kg/s);;dt;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,24;0;0;0;;;
4,25;0;0;0,01;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,25;0;0;0;;;
4,26;0;0;0,01;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,26;0;0;0;;;
4,27;0;0;0,01;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,27;0;0;0;;;
4,28;0;0;0,01;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,28;0;0;0;;;
4,29;0;0;0,01;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,29;0;0;0;;;
4,3;0;0;0,01;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,3;0;0;0;;;
4,31;0;0;0,01;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,31;0;0;0;;;
4,32;0;0;0,01;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,32;0;0;0;;;
4,33;0;0;0,01;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,33;0;0;0;;;
4,34;0;0;0,01;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,34;0;0;0;;;
4,35;0;0;0,01;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,35;0;0;0;;;
4,36;0;0;0,01;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,36;0;0;0;;;
4,37;0;0;0,01;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,37;0;0;0;;;
4,38;0;0;0,01;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,38;0;0;0;;;
4,39;0;0;0,01;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,39;0;0;0;;;
4,4;0;0;0,01;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,4;0;0;0;;;
4,41;0;0;0,01;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,41;0;0;0;;;
4,42;0;0;0,01;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,42;0;0;0;;;
4,43;0;0;0,01;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,43;0;0;0;;;
4,44;0;0;0,01;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,44;0;0;0;;;
4,45;0;0;0,01;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,45;0;0;0;;;
4,46;0;0;0,01;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,46;0;0;0;;;
4,47;0;0;0,01;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,47;0;0;0;;;
4,48;0;0;0,01;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,48;0;0;0;;;
4,49;0;0;0,01;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,49;0;0;0;;;
4,5;0;0;0,01;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,5;0;0;0;;;
4,51;0;0;0,01;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,51;0;0;0;;;
4,52;0;0;0,01;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,52;0;0;0;;;
4,53;0;0;0,01;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,53;0;0;0;;;
4,54;0;0;0,01;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,54;0;0;0;;;
4,55;0;0;0,01;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,55;0;0;0;;;
4,56;0;0;0,01;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,56;0;0;0;;;
4,57;0;0;0,01;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,57;0;0;0;;;
4,58;0;0;0,01;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,58;0;0;0;;;
4,59;0;0;0,01;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,59;0;0;0;;;
4,6;0;0;0,01;;;
